siteID,labno,dateOn,dateOff,yrmonth,ph,Conduc,flagCa,Ca,flagMg,Mg,flagK,K,flagNa,Na,flagNH4,NH4,flagNO3,NO3,flagCl,Cl,flagSO4,SO4,flagBr,Br,svol,ppt,subppt,valcode,invalcode,modifiedOn
NH02,NA2596OW,"1980-04-29 12:15","1980-05-06 13:00",198005,5.490,5.300," ",.210," ",.051," ",.014," ",.128," ",.050," ",.380," ",.140," ",.760,0,-9,738.800,10.410,10.410,"w ","            ",1985-05-17
NH02,NA2689OW,"1980-05-06 13:00","1980-05-13 13:00",198005,4.290,28.700," ",.360," ",.112," ",.028," ",.190," ",.470," ",2.540," ",.120," ",3.600,0,-9,1566.600,22.100,22.100,"w ","            ",1985-05-17
NH02,NA2710OW,"1980-05-13 13:00","1980-05-20 13:00",198005,4.610,20.700," ",.090," ",.018," ",.016," ",1.403," ",.160," ",1.070," ",.250," ",3.710,0,-9,1909.100,28.450,28.450,"w ","            ",1985-05-17
NH02,NA2762OW,"1980-05-20 13:00","1980-05-27 13:00",198005,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,1.700,.000,.000,"d ","            ",1985-06-06
NH02,NA2819OW,"1980-05-27 13:00","1980-06-03 12:30",198005,4.020,49.700," ",.190," ",.035," ",.022," ",.114," ",.460," ",2.590," ",.160," ",5.140,0,-9,553.500,7.620,7.620,"w ","            ",1985-05-17
NH02,NA2888OW,"1980-06-03 12:30","1980-06-10 13:30",198006,4.350,22.200," ",.090," ",.027," ",.017," ",.056," ",.130," ",1.510," ",.130," ",2.300,0,-9,1630.400,23.110,23.110,"w ","            ",1985-05-17
NH02,NA2937OW,"1980-06-10 13:30","1980-06-17 13:50",198006,4.530,12.600," ",.140," ",.017," ",.017," ",.166," ",.050," ",.980," ",.160," ",1.670,0,-9,770.700,10.410,10.410,"w ","            ",1985-05-17
NH02,NA3008OW,"1980-06-17 13:50","1980-06-24 13:05",198006,3.820,50.900," ",.100," ",.031," ",.057," ",.347," ",.160," ",2.470," ",.270," ",4.960,0,-9,548.600,8.130,8.130,"w ","            ",1985-05-17
NH02,NA3106OW,"1980-06-24 13:05","1980-07-01 13:00",198006,6.190,14.500," ",.360," ",.058," ",.015," ",1.921,<,.020," ",.830," ",.280," ",3.060,0,-9,483.300,6.350,6.350,"w ","            ",1985-05-17
NH02,NA3137OW,"1980-07-01 13:00","1980-07-08 12:35",198007,3.740,64.400," ",.360," ",.063," ",.037," ",.487," ",.350," ",3.980," ",.210," ",6.240,0,-9,934.100,12.700,12.700,"w ","            ",1985-05-17
NH02,NA3187OW,"1980-07-08 12:35","1980-07-15 13:10",198007,4.090,35.700," ",.120," ",.024," ",.019," ",.011," ",.250," ",1.800," ",.160," ",3.130,0,-9,1021.400,15.490,15.490,"w ","            ",1985-05-17
NH02,NA3275OW,"1980-07-15 13:10","1980-07-22 12:40",198007,4.280,27.500," ",.150," ",.037," ",.078," ",.034," ",.150," ",1.940," ",.190," ",3.040,0,-9,769.900,9.910,9.910,"w ","            ",1985-05-17
NH02,NA3341OW,"1980-07-22 12:40","1980-07-29 13:00",198007,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,379.800,4.830,4.830,"  ","x           ",1985-12-31
NH02,NA3400OW,"1980-07-29 13:00","1980-08-05 13:00",198008,4.100,36.300," ",.090," ",.024," ",.027," ",.093," ",.260," ",1.360," ",.240," ",3.550,0,-9,1317.800,19.300,19.300,"w ","            ",1985-05-17
NH02,NA3467OW,"1980-08-05 13:00","1980-08-12 12:55",198008,-9.000,-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000," ",-9.000,0,-9,1911.900,27.430,27.430,"  ","x           ",1985-12-31
NH02,NA3571OW,"1980-08-12 12:55","1980-08-18 11:30",198008,4.230,30.400," ",.130," ",.023," ",.036," ",.022," ",.240," ",1.950," ",.210," ",3.570,0,-9,386.800,4.570,4.570,"w ","            ",1985-05-17
